,User_ID,Likes,Shares,Comments,Clicks,Engagement_with_Ads,Time_Spent_on_Platform,Purchase_Likelihood,brand,buy,coupon,deal,discount,exclusive,limited,new,offer,product,sale,shopping
User_ID,1.0,-0.017995040434790104,0.05983428588117496,-3.249894504632429e-05,0.00565884902582544,0.021447017447359443,-0.07289074719330346,-0.00514077820473901,-0.08034138099278774,-0.042513941595631405,0.050893518832883795,-0.06401213438854088,-0.013712541513911325,0.025856846428314036,0.029487530929436623,0.019255923939076294,-0.022310507464206878,0.04729825192096281,0.031154514260570535,0.020674116948487045
Likes,-0.017995040434790104,1.0,-0.03501014968128452,0.018106554197531502,0.04321874410544262,0.033469609424016236,0.014367146959472119,0.0794541023212204,0.0738605764716549,0.031482951554826735,-0.03358936644561824,-0.10187073168333667,-0.012928256960818311,0.03035102701925027,0.022249746920921312,0.029599619016778763,-0.05584224273282461,-0.0052572212003215565,0.03215146006185277,-0.014506855517807392
Shares,0.05983428588117496,-0.03501014968128452,1.0,-0.006562200776798639,-0.01699379251937131,-0.030987453452329086,0.0047244678100215685,0.014438955866633744,-0.04584170794375031,-0.027914050105384294,0.033256359162919934,-0.030804207403694134,-0.017674489563033885,-0.02423293008122784,0.07637000281444858,-0.0661663211848643,0.05268901291762779,0.026824681067174068,0.007333229584134014,-0.011592181180444094
Comments,-3.249894504632429e-05,0.018106554197531502,-0.006562200776798639,1.0,-0.06923209678029288,0.06318074408974618,0.03415230460960438,0.001094761885455595,0.05759586901819879,-0.019857619302486383,0.02462110230421203,0.04334468662148509,-0.02017474199456447,0.014121911861952949,-0.01836101467640423,0.006451367767283838,-0.0421373389991828,-0.045763473991951284,-0.028188019618745105,-0.02580553117130822
Clicks,0.00565884902582544,0.04321874410544262,-0.01699379251937131,-0.06923209678029288,1.0,-0.030985766288853342,-0.06948173574010878,0.016507376063671805,0.028659670048428298,-0.021848101903737704,-0.0032034014608623555,-0.045752689539919345,0.02678104106353891,0.02596553472234967,-0.04890627109733322,0.017488566962915345,-0.005074477593396734,-0.006079337195016017,0.0016139143243513816,-0.022896017633277792
Engagement_with_Ads,0.021447017447359443,0.033469609424016236,-0.030987453452329086,0.06318074408974618,-0.030985766288853342,1.0,0.07941430884086977,0.02369547644305988,-0.036733410726333265,-0.12721541378423332,-0.020262789028434196,-0.03264645472561639,0.023313697014838004,0.006470172191115089,0.03643304677196412,0.027482232386259093,0.06419530141301688,-0.031631857924647795,0.055325092795289896,-0.07638835454436756
Time_Spent_on_Platform,-0.07289074719330346,0.014367146959472119,0.0047244678100215685,0.03415230460960438,-0.06948173574010878,0.07941430884086977,1.0,0.016891908814336824,0.024248518240104943,0.04762173986998456,0.11350201833620238,-0.006475913879683904,0.02011909970810909,-0.08356532720756475,-0.07642195111539615,-0.08761079994631042,0.033835450855424914,0.03624208359180272,-0.008397404120962132,0.005998638979160897
Purchase_Likelihood,-0.00514077820473901,0.0794541023212204,0.014438955866633744,0.001094761885455595,0.016507376063671805,0.02369547644305988,0.016891908814336824,1.0,-0.006130428626915254,-0.04150962919218067,0.038235721060148775,0.05050982909958109,-0.03405796242184554,0.029737922611760313,-0.0638274198859677,-0.05464662025162115,-0.04706407777324152,0.12768958611951692,0.014459709609423409,-0.041481121052586646
brand,-0.08034138099278774,0.0738605764716549,-0.04584170794375031,0.05759586901819879,0.028659670048428298,-0.036733410726333265,0.024248518240104943,-0.006130428626915254,1.0,-0.07881372153037736,-0.06789872644592826,-0.038429012940577496,-0.11557477796522243,-0.015169030065302585,-0.06954535047770961,-0.06406734238130789,-0.08042203111362821,-0.08449257118923749,-0.0675335196303568,-0.1314598026978453
buy,-0.042513941595631405,0.031482951554826735,-0.027914050105384294,-0.019857619302486383,-0.021848101903737704,-0.12721541378423332,0.04762173986998456,-0.04150962919218067,-0.07881372153037736,1.0,-0.12219002957889835,-0.10017200153329163,-0.05671915287868917,-0.03869455085575911,-0.07649073375304916,-0.016028768995835573,-0.061583478205722485,-0.1638855845098943,-0.08081577872534788,-0.04329062061519432
coupon,0.050893518832883795,-0.03358936644561824,0.033256359162919934,0.02462110230421203,-0.0032034014608623555,-0.020262789028434196,0.11350201833620238,0.038235721060148775,-0.06789872644592826,-0.12219002957889835,1.0,-0.06511834328217242,-0.08085515746644874,-0.1996644320794256,-0.09968637386316938,-0.058454816079060695,-0.007427135364819501,0.007862112157637118,-0.07611499117616967,-0.08860266641411577
deal,-0.06401213438854088,-0.10187073168333667,-0.030804207403694134,0.04334468662148509,-0.045752689539919345,-0.03264645472561639,-0.006475913879683904,0.05050982909958109,-0.038429012940577496,-0.10017200153329163,-0.06511834328217242,1.0,-0.0579107509419094,-0.16790074784393763,-0.08807914179809985,-0.0592214268018057,-0.003771901884956417,-0.05858888899017698,-0.08983433440539174,-0.111356400845609
discount,-0.013712541513911325,-0.012928256960818311,-0.017674489563033885,-0.02017474199456447,0.02678104106353891,0.023313697014838004,0.02011909970810909,-0.03405796242184554,-0.11557477796522243,-0.05671915287868917,-0.08085515746644874,-0.0579107509419094,1.0,-0.10935846444455231,-0.08625604266931994,-0.08104297265573306,-0.08698326140962047,-0.08239379336462124,-0.04666924685029053,-0.009253029316210934
exclusive,0.025856846428314036,0.03035102701925027,-0.02423293008122784,0.014121911861952949,0.02596553472234967,0.006470172191115089,-0.08356532720756475,0.029737922611760313,-0.015169030065302585,-0.03869455085575911,-0.1996644320794256,-0.16790074784393763,-0.10935846444455231,1.0,-0.07364977445351815,-0.11935903808620171,-0.11150728418855087,-0.11685025527300873,0.016754569995663823,-0.04420358347506564
limited,0.029487530929436623,0.022249746920921312,0.07637000281444858,-0.01836101467640423,-0.04890627109733322,0.03643304677196412,-0.07642195111539615,-0.0638274198859677,-0.06954535047770961,-0.07649073375304916,-0.09968637386316938,-0.08807914179809985,-0.08625604266931994,-0.07364977445351815,1.0,-0.06548710581870379,-0.07896263254172224,-0.07494043624360729,-0.08444474907658896,-0.13800507785277122
new,0.019255923939076294,0.029599619016778763,-0.0661663211848643,0.006451367767283838,0.017488566962915345,0.027482232386259093,-0.08761079994631042,-0.05464662025162115,-0.06406734238130789,-0.016028768995835573,-0.058454816079060695,-0.0592214268018057,-0.08104297265573306,-0.11935903808620171,-0.06548710581870379,1.0,-0.06326700232351001,-0.13019175084435738,-0.05729856357437515,-0.06779123862176616
offer,-0.022310507464206878,-0.05584224273282461,0.05268901291762779,-0.0421373389991828,-0.005074477593396734,0.06419530141301688,0.033835450855424914,-0.04706407777324152,-0.08042203111362821,-0.061583478205722485,-0.007427135364819501,-0.003771901884956417,-0.08698326140962047,-0.11150728418855087,-0.07896263254172224,-0.06326700232351001,1.0,-0.08210061873853258,-0.10531499714860618,-0.11147113681384677
